[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /metrics                  --> github.com/zsais/go-gin-prometheus.prometheusHandler.func1 (2 handlers)
[GIN-debug] POST   /login                    --> main.main.func2 (6 handlers)
[GIN-debug] POST   /signup                   --> main.main.func3 (6 handlers)
[GIN-debug] GET    /user/is-auth             --> main.main.func4 (7 handlers)
[GIN-debug] POST   /user/logout              --> main.main.func5 (7 handlers)
[GIN-debug] POST   /user/add-item            --> main.main.func6 (7 handlers)
[GIN-debug] GET    /user/watchlist           --> main.main.func7 (7 handlers)
[GIN-debug] POST   /user/add-new-item        --> main.main.func8 (7 handlers)
[GIN-debug] GET    /item/get-items           --> main.main.func9 (6 handlers)
[GIN-debug] GET    /item/price               --> main.main.func10 (6 handlers)
[GIN-debug] Listening and serving HTTP on :8000
[GIN] 2020/05/25 - 20:59:17 | 200 |    478.2343ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    482.3324ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    490.8044ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    507.5816ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    518.8469ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    530.3456ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    530.3249ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     537.341ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     562.238ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    572.3173ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    576.9344ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    591.7642ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    594.1151ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |      596.25ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    600.1933ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     600.409ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    605.8956ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    673.3117ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     676.416ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    676.6808ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    681.0429ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    691.1658ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    697.5819ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    705.7914ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    711.3244ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    715.8126ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    718.5609ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    741.3708ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    741.2403ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    745.2693ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    756.3875ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    765.0685ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    786.6684ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    800.3874ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    808.6134ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    829.8842ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    837.0248ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    852.6728ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     860.546ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    872.9227ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    872.8807ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    882.3299ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    893.7868ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     914.673ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    929.8543ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    947.0811ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    951.4879ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    953.4037ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    958.1034ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    971.9376ms |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    830.5069ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    986.6331ms |      172.19.0.1 | GET      /item/get-items?offset=909&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    986.0415ms |      172.19.0.1 | GET      /item/get-items?offset=1033&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    1.0051659s |      172.19.0.1 | GET      /item/get-items?offset=767&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     869.712ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    874.8751ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    869.5557ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    793.5437ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |      927.62ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     935.436ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    926.6009ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     916.407ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |     819.889ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    827.5586ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    834.0602ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    799.4899ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    823.9479ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    855.4506ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    833.6348ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    807.3958ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    836.7778ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    825.3459ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    824.2972ms |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    814.0508ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    858.1283ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    839.4597ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    820.1242ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    825.9393ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
